WORD	SAMPA	POS	PRON_VARIANT	IS_COMPOUND	COMPOUND_ATTR	HAS_PREFIX	LANG	IS_VALIDATED	COMMENT
afnema	a v n E m a	n	all	false	none	true	IS	true	""
afnot	a v n O t	n	standard_clear	false	head	true	IS	true	
afnot	a v n O t_h	n	north_clear	false	head	true	IS	true	
afnota	a v n O t a	n	standard_clear	false	both	true	IS	true	
afnota	a v n O t_h a	n	north_clear	false	both	true	IS	true	
afnotarétt	a v n O t a r j E h t	n	standard_clear	true	head	true	IS	true	
afnotarétt	a v n O t_h a r j E h t	n	north_clear	true	head	true	IS	true	
afnumin	a v n Y m I n	so	all	false	none	true	IS	true	
afnumið	a v n Y m I D	n	all	false	none	true	IS	true	""
afnám	a v n au m	n	all	false	none	true	IS	true	
afnámi	a v n au m I	n	all	false	head	true	IS	true	
afoxun	a: v O k s Y n	n	all	false	none	true	IS	true	
afplána	a v p l au n a	n	all	false	none	true	IS	true	""
afplánun	a v p_h l au n Y n	n	all	false	head	true	IS	true	
afrakstur	a v r a k s t Y r	n	all	false	none	true	IS	true	
afraksturinn	a v r a k s t Y r I n	n	all	false	head	true	IS	true	
afrek	a v r E k	n	standard_clear	false	head	true	IS	true	
afrek	a v r E k_h	n	north_clear	false	head	true	IS	true	
afreka	a v r E k a	n	standard_clear	false	both	true	IS	true	""
africa	a f r I k a	n	all	false	none	false	GB	true	""
african	a f r I k a n	n	all	false	none	false	GB	true	""
afrifu	a v r I v Y	n	all	false	both	true	IS	true	
afrit	a v r I t	n	standard_clear	false	head	true	IS	true	
afrit	a v r I t_h	n	north_clear	false	head	true	IS	true	
afritunarhnappinn	a v r I t Y n a r_0 n_0 a h p I n	n	standard_clear	true	none	true	IS	true	
afritunarhnappinn	a v r I t_h Y n a r_0 n_0 a h p I n	n	north_clear	true	none	true	IS	true	
afrétti	a v r j E h t I	lo	all	false	none	true	IS	true	
afrétti	a v r j E h t I	n	all	false	none	true	IS	true	
afrétti	a v r j E h t I	so	all	false	none	true	IS	true	
afríku	a f r i k Y	ns	standard_clear	false	modifier	false	IS	true	
afríku	a f r i k_h Y	ns	north_clear	false	modifier	false	IS	true	
afríkuverkefnisins	a f r i k Y v E r_0 c E p n I s I n s	n	standard_clear	true	none	false	IS	true	
afríkuverkefnisins	a f r i k_h Y v E r_0 c E p n I s I n s	n	north_clear	true	none	false	IS	true	
afsaka	a f s a k a	so	standard_clear	false	none	true	IS	true	
afsaka	a f s a k_h a	so	north_clear	false	none	true	IS	true	
afsakanirnar	a f s a k a n I r t n a r	n	standard_clear	false	head	true	IS	true	
afsakanirnar	a f s a k_h a n I t n a r	n	north_clear	false	head	true	IS	true	
afsal	a f s a l	n	all	false	head	true	IS	true	
afsala	a f s a l a	n	all	false	none	true	IS	true	""
afsalað	a f s a l a D	n	all	true	none	false	IS	true	""
afsali	a f s a l I	n	all	false	head	true	IS	true	
afsali	a f s a l I	so	all	false	head	true	IS	true	
afskaplega	a f s k a p l E G a	ao	all	false	none	true	IS	true	
afskekkt	a f s c E x t	lo	all	false	none	true	IS	true	
afskekkta	a f s c E x t a	lo	all	false	head	true	IS	true	
afskekktan	a f s c E x t a n	lo	all	false	none	true	IS	true	
afskipta	a f s c I f t a	n	all	false	both	true	IS	true	""
afskiptalaus	a f s c I f t a l 9i s	lo	all	true	none	true	IS	true	
afskiptalausa	a f s c I f t a l 9i s a	lo	all	true	none	true	IS	true	
afskiptasemi	a f s c I f t a s E m I	n	all	true	none	true	IS	true	
afskipti	a f s c I f t I	lo	all	false	head	true	IS	true	
afskipti	a f s c I f t I	n	all	false	head	true	IS	true	
afskiptum	a f s c I f t Y m	lo	all	false	head	true	IS	true	
afskiptum	a f s c I f t Y m	n	all	false	head	true	IS	true	
afskrifa	a f s k r I v a	so	all	false	none	true	IS	true	
afskriftareikning	a f s k r I f t a r ei h k n i N k	n	all	true	none	true	IS	true	
afskriftir	a f s k r I f t I r	n	all	false	head	true	IS	true	""
afskræmt	a f s k r ai m t_h	lo	northeast_clear	false	none	true	IS	true	
afskræmt	a f s k r ai m_0 t	lo	standard_clear	false	none	true	IS	true	
afslappaður	a f s t l a h p a D Y r	lo	all	false	none	true	IS	true	
afslátt	a f s t l au h t	n	all	false	head	true	IS	true	
afsláttar	a f s t l au h t a r	n	all	false	both	true	IS	true	
